#This file is automatically generated by https://freetv.fun and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#EPG.pw does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://epg.pw/app_download.html
#這個檔案是由https://freetv.fun自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#EPG.pw並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://epg.pw/app_download.html


Generic,#genre#
Channel 8,https://stream.freetv.fun/bso-channel-2.m3u8
Channel 8,https://stream.freetv.fun/ch-ng-hunt-channel-1.m3u8
Channel 8[geo-blocked],https://stream.freetv.fun/cooking-channel-3.m3u8
Channel 8,https://stream.freetv.fun/buko-channel-1.ctv
Channel 8[geo-blocked],https://stream.freetv.fun/cooking-channel-4.m3u8
Channel 8[geo-blocked],https://stream.freetv.fun/cooking-channel-5.m3u8
Channel 8,https://stream.freetv.fun/channel-k-1.m3u8
Channel 8[geo-blocked],https://stream.freetv.fun/channel-8-kurdish-1.m3u8
Channel 8,https://stream.freetv.fun/tvs-family-channel-1.m3u8
Channel 8,https://stream.freetv.fun/church-channel-1.ctv
Channel 8,https://stream.freetv.fun/cowboy-channel-1.ctv
Channel 8,https://stream.freetv.fun/cooking-channel-6.ctv
Channel 8[geo-blocked],https://stream.freetv.fun/ch-ng-dove-channel-1.m3u8
Channel 8,https://stream.freetv.fun/ivoire-channel-1.m3u8
Channel 8[geo-blocked],https://stream.freetv.fun/reelz-channel-1.m3u8
Channel 8,https://stream.freetv.fun/tai-guo--white-channel-1.m3u8
Channel 8,https://stream.freetv.fun/kqsl-channel-8-1.m3u8
Channel 8,https://stream.freetv.fun/30a-music-channel-2.m3u8
Channel 8,https://stream.freetv.fun/dove-channel-2.m3u8
Channel 8,https://stream.freetv.fun/video-tour-channel-1.m3u8
Channel 8,https://stream.freetv.fun/novela-channel-1.m3u8
Channel 8,https://stream.freetv.fun/peru-channel-1.m3u8
Cinema World,https://stream.freetv.fun/cinema-world-1.ctv
DIVA,https://stream.freetv.fun/diva-1.m3u8
HBO(SG),https://stream.freetv.fun/myx-philippines-1.m3u8
HITS,https://stream.freetv.fun/pinoy-hits-1.ctv
HITS Movies,https://stream.freetv.fun/hits-movies-1.ctv
HITS Movies,https://stream.freetv.fun/hits-movies-2.ctv
HITS Movies,https://stream.freetv.fun/hits-movies-3.ctv
HITS Movies,https://stream.freetv.fun/hits-movies-4.ctv
HITS Movies,https://stream.freetv.fun/hits-movies-5.ctv
HITS Movies,https://stream.freetv.fun/hits-movies-6.ctv
HITS Movies,https://stream.freetv.fun/ph-hits-movies-1.ctv
Hits(TW),https://stream.freetv.fun/box-hits-2.ctv
Okto[geo-blocked],https://stream.freetv.fun/okto-tv-1.m3u8
Sony Channel,https://stream.freetv.fun/sony-movie-channel-1.m3u8
Sony Channel,https://stream.freetv.fun/sony-channel-1.m3u8
News,#genre#
CNA,https://stream.freetv.fun/cna-1.m3u8
CNA,https://stream.freetv.fun/cna-2.m3u8
CNA,https://stream.freetv.fun/cna-3.m3u8
CNA,https://stream.freetv.fun/cna-4.m3u8
CNA,https://stream.freetv.fun/cna-5.m3u8
CNA,https://stream.freetv.fun/cna-6.ctv
CNA,https://stream.freetv.fun/cna-7.ctv
CNA,https://stream.freetv.fun/cna-8.ctv
CNA,https://stream.freetv.fun/cna-9.ctv
News CNA,https://stream.freetv.fun/cnanews-hd-xin-jia-po-1.m3u8
News CNA,https://stream.freetv.fun/cnanews-hd-xin-jia-po-2.m3u8
NewsAsia,https://stream.freetv.fun/channel-newsasia-1.m3u8
NewsAsia,https://stream.freetv.fun/channel-newsasia-2.m3u8
Other,#genre#
BETV[geo-blocked],https://stream.freetv.fun/beteve-1.m3u8
BETV,https://stream.freetv.fun/betv-1.m3u8
History Channel,https://stream.freetv.fun/history-channel-2.ctv
History Channel,https://stream.freetv.fun/history-channel-5.m3u8
MOB TV,https://stream.freetv.fun/m2o-tv-1.m3u8
亞洲美食臺[geo-blocked],https://stream.freetv.fun/ya-zhou-mei-shi-1.m3u8
Sports,#genre#
Hub Sport 2,https://stream.freetv.fun/sport-2u-1.m3u8
SPOTV Stadia[geo-blocked],https://stream.freetv.fun/spotv-stadia-1.ctv
SPOTV Stadia[geo-blocked],https://stream.freetv.fun/spotv-stadia-2.m3u8
SPOTV Stadia,https://stream.freetv.fun/sixx-1.m3u8
SPOTV2 Stadia,https://stream.freetv.fun/radio-shanson-1.m3u8
SPOTV2 Stadia,https://stream.freetv.fun/tv-aldeia-2.m3u8
